L,bond_dim,ell,x,code_label,state_0,state_1,D_code,quantity,value_bits,E0,E1,E2,gap_ratio,P0,P1,P2,overlap_re,overlap_im,overlap_abs,entropy_base,method,warning
16,14,2,0.125,I_epsilon,I,epsilon,2,small_avg_relent_X,0.0031930050723090473,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,4.1964852624809534e-7,5.30766606213727e-7,6.76622550506437e-7,2.0,direct_puMPS_rdm,
16,14,2,0.125,I_sigma,I,sigma,2,small_avg_relent_X,0.0047272742619180776,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,1.015819991969953e-6,3.573618255466013e-6,3.715190128632152e-6,2.0,direct_puMPS_rdm,
16,14,3,0.1875,I_epsilon,I,epsilon,2,small_avg_relent_X,0.014381921913298354,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,4.1964852612579734e-7,5.307666063290861e-7,6.766225505210782e-7,2.0,direct_puMPS_rdm,
16,14,3,0.1875,I_sigma,I,sigma,2,small_avg_relent_X,0.010656838195081952,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,1.015819992073074e-6,3.573618255443272e-6,3.7151901286384733e-6,2.0,direct_puMPS_rdm,
16,14,4,0.25,I_epsilon,I,epsilon,2,small_avg_relent_X,0.03831107151667214,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,4.196485262177377e-7,5.307666061166909e-7,6.766225504114904e-7,2.0,direct_puMPS_rdm,
16,14,4,0.25,I_sigma,I,sigma,2,small_avg_relent_X,0.019117603773418333,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,1.0158199919084518e-6,3.5736182554568585e-6,3.7151901286065304e-6,2.0,direct_puMPS_rdm,
16,14,5,0.3125,I_epsilon,I,epsilon,2,small_avg_relent_X,0.07822479036351707,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,4.196485262649005e-7,5.307666062498309e-7,6.76622550545181e-7,2.0,direct_puMPS_rdm,
16,14,5,0.3125,I_sigma,I,sigma,2,small_avg_relent_X,0.030298941574767157,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,1.0158199919462002e-6,3.573618255516994e-6,3.715190128674696e-6,2.0,direct_puMPS_rdm,
16,14,6,0.375,I_epsilon,I,epsilon,2,small_avg_relent_X,0.13589986275191004,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,4.196485262013391e-7,5.307666062292989e-7,6.766225504896534e-7,2.0,direct_puMPS_rdm,
16,14,6,0.375,I_sigma,I,sigma,2,small_avg_relent_X,0.04446131746470274,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,1.0158199918793842e-6,3.5736182554409093e-6,3.7151901285832413e-6,2.0,direct_puMPS_rdm,
16,14,7,0.4375,I_epsilon,I,epsilon,2,small_avg_relent_X,0.21157371493742333,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,4.196485261717133e-7,5.307666060306866e-7,6.766225503154807e-7,2.0,direct_puMPS_rdm,
16,14,7,0.4375,I_sigma,I,sigma,2,small_avg_relent_X,0.06196090675057346,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,1.0158199919300346e-6,3.5736182554466458e-6,3.7151901286026082e-6,2.0,direct_puMPS_rdm,
