L,bond_dim,ell,x,code_label,state_0,state_1,D_code,quantity,value_bits,E0,E1,E2,gap_ratio,P0,P1,P2,overlap_re,overlap_im,overlap_abs,entropy_base,method,warning
16,14,2,0.125,I_epsilon,I,epsilon,2,complement_proxy,0.07060176296257212,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,4.1964852624809534e-7,5.30766606213727e-7,6.76622550506437e-7,2.0,direct_puMPS_rdm,
16,14,2,0.125,I_sigma,I,sigma,2,complement_proxy,0.6359503676043056,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,1.015819991969953e-6,3.573618255466013e-6,3.715190128632152e-6,2.0,direct_puMPS_rdm,
16,14,3,0.1875,I_epsilon,I,epsilon,2,complement_proxy,0.14991920357342448,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,4.1964852612579734e-7,5.307666063290861e-7,6.766225505210782e-7,2.0,direct_puMPS_rdm,
16,14,3,0.1875,I_sigma,I,sigma,2,complement_proxy,0.7155349834343434,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,1.015819992073074e-6,3.573618255443272e-6,3.7151901286384733e-6,2.0,direct_puMPS_rdm,
16,14,4,0.25,I_epsilon,I,epsilon,2,complement_proxy,0.24898538119547786,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,4.196485262177377e-7,5.307666061166909e-7,6.766225504114904e-7,2.0,direct_puMPS_rdm,
16,14,4,0.25,I_sigma,I,sigma,2,complement_proxy,0.7748811711289513,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,1.0158199919084518e-6,3.5736182554568585e-6,3.7151901286065304e-6,2.0,direct_puMPS_rdm,
16,14,5,0.3125,I_epsilon,I,epsilon,2,complement_proxy,0.36034171748139066,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,4.196485262649005e-7,5.307666062498309e-7,6.76622550545181e-7,2.0,direct_puMPS_rdm,
16,14,5,0.3125,I_sigma,I,sigma,2,complement_proxy,0.821719179610418,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,1.0158199919462002e-6,3.573618255516994e-6,3.715190128674696e-6,2.0,direct_puMPS_rdm,
16,14,6,0.375,I_epsilon,I,epsilon,2,complement_proxy,0.47657287993452535,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,4.196485262013391e-7,5.307666062292989e-7,6.766225504896534e-7,2.0,direct_puMPS_rdm,
16,14,6,0.375,I_sigma,I,sigma,2,complement_proxy,0.8596951920542039,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,1.0158199918793842e-6,3.5736182554409093e-6,3.7151901285832413e-6,2.0,direct_puMPS_rdm,
16,14,7,0.4375,I_epsilon,I,epsilon,2,complement_proxy,0.5906052543804898,-20.40459418815213,-20.30633996618739,-19.620452966496455,7.980738190945856,0.9999999997328268,-0.9999999364111831,0.9999996109240911,4.196485261717133e-7,5.307666060306866e-7,6.766225503154807e-7,2.0,direct_puMPS_rdm,
