N,D,ell,x,E0,E1,E2,gap_ratio,P0,P1,P2,I01,I02,I12,S10,S20,S12
16,14,2,0.125,-2.0404594188152132e+01,-2.0306339966187391e+01,-1.9620452966496455e+01,7.9807381909458561e+00,9.9999999973282683e-01,-9.9999993641118312e-01,9.9999961092409106e-01,6.4067764186622278e-01,7.3794768034881608e-02,1.9077818179310535e-01,1.3232329425528641e-02,9.5912461710041148e-03,1.5068507702814794e-02
16,14,3,0.1875,-2.0404594188152132e+01,-2.0306339966187391e+01,-1.9620452966496455e+01,7.9807381909458561e+00,9.9999999973282683e-01,-9.9999993641118312e-01,9.9999961092409106e-01,7.2619182162943030e-01,1.6430112548671838e-01,2.7649863238110473e-01,2.9878613134613461e-02,4.6305186977566824e-02,4.8815320080572593e-02
16,14,4,0.25,-2.0404594188152132e+01,-2.0306339966187391e+01,-1.9620452966496455e+01,7.9807381909458561e+00,9.9999999973282683e-01,-9.9999993641118312e-01,9.9999961092409106e-01,7.9399877490235982e-01,2.8729645271215754e-01,3.8663683428002860e-01,5.3916109438234973e-02,1.3262001812336585e-01,1.1001816987034863e-01
16,14,5,0.3125,-2.0404594188152132e+01,-2.0306339966187391e+01,-1.9620452966496455e+01,7.9807381909458561e+00,9.9999999973282683e-01,-9.9999993641118312e-01,9.9999961092409106e-01,8.5201812118517850e-01,4.3856650784490081e-01,5.1887155771887894e-01,8.6254887841866912e-02,2.9141381004450606e-01,2.0491011495282993e-01
16,14,6,0.375,-2.0404594188152132e+01,-2.0306339966187391e+01,-1.9620452966496455e+01,7.9807381909458561e+00,9.9999999973282683e-01,-9.9999993641118312e-01,9.9999961092409106e-01,9.0415650951891102e-01,6.1247274268642693e-01,6.6886918218758851e-01,1.2823529819975266e-01,5.4621655128029345e-01,3.3974381345010041e-01
18,16,2,0.1111111111111111,-2.2947426325064701e+01,-2.2860104602647439e+01,-2.2250180338229331e+01,7.9847942474568203e+00,9.9999999995624522e-01,-9.9999999984960874e-01,9.9999997713600730e-01,6.1840073696966646e-01,5.8441780270003241e-02,1.7424437368460066e-01,1.0417264586242807e-02,6.1401290416912002e-03,1.1539993943503545e-02
18,16,3,0.1666666666666667,-2.2947426325064701e+01,-2.2860104602647439e+01,-2.2250180338229331e+01,7.9847942474568203e+00,9.9999999995624522e-01,-9.9999999984960874e-01,9.9999997713600730e-01,7.0058942442704497e-01,1.3041100889656065e-01,2.4424967112336637e-01,2.3474351171725166e-02,3.0117734253107278e-02,3.6345085211197253e-02
18,16,4,0.2222222222222222,-2.2947426325064701e+01,-2.2860104602647439e+01,-2.2250180338229331e+01,7.9847942474568203e+00,9.9999999995624522e-01,-9.9999999984960874e-01,9.9999997713600730e-01,7.6555201088694536e-01,2.2892337175031874e-01,3.3377743612658684e-01,4.2196277362047979e-02,8.7360301615517541e-02,8.1136477361864898e-02
18,16,5,0.2777777777777778,-2.2947426325064701e+01,-2.2860104602647439e+01,-2.2250180338229331e+01,7.9847942474568203e+00,9.9999999995624522e-01,-9.9999999984960874e-01,9.9999997713600730e-01,8.2080229801744897e-01,3.5141285189174276e-01,4.4201004124594712e-01,6.7124318938183908e-02,1.9380239684468753e-01,1.5046515701478111e-01
18,16,6,0.3333333333333333,-2.2947426325064701e+01,-2.2860104602647439e+01,-2.2250180338229331e+01,7.9847942474568203e+00,9.9999999995624522e-01,-9.9999999984960874e-01,9.9999997713600730e-01,8.6996484477696390e-01,4.9439859226853189e-01,5.6640142720096098e-01,9.9024375710437845e-02,3.6567062405412437e-01,2.4856438386042909e-01
20,16,2,0.1,-2.5490989037929491e+01,-2.5412408338601296e+01,-2.4863313004945706e+01,7.9876615803871625e+00,9.9999999995457189e-01,-9.9999988820410335e-01,9.9999958549137768e-01,5.9919702589250123e-01,4.7415093975514910e-02,1.6192637897879947e-01,8.4149064082373257e-03,4.1072839722924043e-03,9.1188837737548947e-03
20,16,3,0.15,-2.5490989037929491e+01,-2.5412408338601296e+01,-2.4863313004945706e+01,7.9876615803871625e+00,9.9999999995457189e-01,-9.9999988820410335e-01,9.9999958549137768e-01,6.7855327600075133e-01,1.0596838342675974e-01,2.2055587279009825e-01,1.8936397332698800e-02,2.0414677333147484e-02,2.7981478076676454e-02
20,16,4,0.2,-2.5490989037929491e+01,-2.5412408338601296e+01,-2.4863313004945706e+01,7.9876615803871625e+00,9.9999999995457189e-01,-9.9999988820410335e-01,9.9999958549137768e-01,7.4115345508164920e-01,1.8651592236445258e-01,2.9488695766589101e-01,3.3948396707191762e-02,5.9876403544532712e-02,6.1866681508219480e-02
20,16,5,0.25,-2.5490989037929491e+01,-2.5412408338601296e+01,-2.4863313004945706e+01,7.9876615803871625e+00,9.9999999995457189e-01,-9.9999988820410335e-01,9.9999958549137768e-01,7.9419572004261751e-01,2.8741464045398102e-01,3.8498111687386638e-01,5.3794837548918908e-02,1.3400174089824332e-01,1.1425697831429865e-01
20,16,6,0.3,-2.5490989037929491e+01,-2.5412408338601296e+01,-2.4863313004945706e+01,7.9876615803871625e+00,9.9999999995457189e-01,-9.9999988820410335e-01,9.9999958549137768e-01,8.4110349752085867e-01,4.0641600496310026e-01,4.8936804887177665e-01,7.8948286127225695e-02,2.5452100084912743e-01,1.8826352236818095e-01
